display_name,handle,status,last_activity,source,notes
"Sherylyn | Club Ambassador",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,bio self-identifies as Club Ambassador
"Xiiii",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"yuki",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"xt",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"jocelyn",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"'Isis._",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,verified badge
"peifern.here",peifern.here,undeliverable,3w,letsco.lab IG DM,"account cannot receive messages — DM blocked/restricted"
"albeeeeee",albeeeeee,auto-detected-outcome,3w,letsco.lab IG DM,
"нυєи 【CLUB AMBASSADOR】",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,bio self-identifies as Club Ambassador
"067",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"巧儿",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"Ashley Chia",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"kitty chan yin tong",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,verified badge
"冉",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"y-",UNVERIFIED,sent,3w,letsco.lab IG DM,active story ring at capture
"liewjiing.",liewjiing.,sent,3w,letsco.lab IG DM,
"思颖",UNVERIFIED,sent,3w,letsco.lab IG DM,
"陈慧淇",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"【妏莹】",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"小C",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"xiaoyuhan",xiaoyuhan,auto-detected-outcome,3w,letsco.lab IG DM,
"grace",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"C",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"Kryxxtal.68",Kryxxtal.68,auto-detected-outcome,3w,letsco.lab IG DM,
"xiao_muii0711",xiao_muii0711,auto-detected-outcome,3w,letsco.lab IG DM,
"Jinghuii",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"玲儿奈子",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,verified badge
"Emily",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"zq609__",zq609__,auto-detected-outcome,3w,letsco.lab IG DM,
"Desrin Choo",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
"yumii",UNVERIFIED,auto-detected-outcome,3w,letsco.lab IG DM,
